,company,description,location,salary,title
166,Nengu Tech Limited,Experience in data training means it will be advantage. Should be working in both natural language processing and machine learning processing.,Remote,"$92,628 - $243,878 a year",Machine Learning Engineer
167,Maxisit,"Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.","Duluth, GA",,Data Scientist/Pharma
168,Galvanize,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data…","New York, NY +7 locations",$35 an hour,Data Science Resident
169,Braintrust,"Experience working with event data in a data lake. A self-service tool that allows data scientists, data engineers, and ML engineers on the Marketing Data…","San Francisco, CA",$100 - $120 an hour,ML Data Engineer (NO C2C!)
170,TheGuarantors,Experience with data science or machine learning a plus. Design and develop data visualization and dashboards to increase access to data within the organization…,"New York, NY",,Data Analyst
171,Calm,"Experience supporting data scientists across their many specialities, from analytics to machine learning. Support Calm’s Data Science team with clear objectives…",Remote,,"VP, Data Science"
172,Duke Careers,Clean and analyze data (includingpsychophysiology data). Assist in collecting and analyzing data. The Duke Interdisciplinary Behavioral Research Center (IBRC)…,"Durham, NC",,"DATA TECH, SOCIAL SCIENCE RESEARCH INSTITUTE"
173,US Council of the Inspectors General on Integrity and Efficiency,We're looking for individuals in the data science field with the requisite education and skills to provide data-driven insights and help solve complex problems…,"Salt Lake City, UT","$51,592 - $84,732 a year",Data Science Fellowship Program (Pandemic Response Accountability Committee)
174,"Goldbelt, Inc.",Utilize research methodology and data collection tools to ensure that appropriate data is gathered. Enter data in spreadsheets and databases.,"Atlanta, GA",,Statistician III
175,Booz Allen Hamilton,"Experience with managing diverse data sources, including preprocessing, cleansing, and verifying the integrity of data to develop data marts for data science…","Bethesda, MD",,"Bioinformatician, Junior"
176,Linden Thomas & Company,"Utilizing programming languages (python, C#, java, etc.) to scrape data from websites. Rapidly growing, nationally recognized private wealth management firm is…","Charlotte, NC","$30,000 - $45,000 a year",Data Mining Analyat
177,Biz2Credit Inc,"Work on data projects and proposals involving Biz2Credit’s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)…","New York, NY","$60,000 - $65,000 a year",DDM – Data Scientist
178,"Honda R&D Americas, Inc.","Translate business inquiries and challenges into data-driven solutions with the support of data engineers, scientists, and IT (defining scope & requirements).","Marysville, OH",,Data Analyst
179,DataRobot,"Strong, practical data analysis and data science skills. Minimum of 3 years experience delivering highly technical courses for our key personas (software…","Seattle, WA",,Data Science Trainer
180,Duty First Consulting,"Expected tasks include designing data collection efforts, supporting the data analysis efforts my providing recommendations for statistical and mathematical…","Vienna, VA",,Statistician
181,Radius Global Solutions LLC,Becomes expert in data warehouse and company data sources. 2+ years analyzing data and creating reports. Bachelor’s degree with a data/ technical emphasis.,"Ambler, PA +2 locations","$80,000 - $100,000 a year",Data Scientist
182,Wellstone Technologies,"Expert experience with data pipelines, data tools, and data organization for analytics. Lead the data strategy, including data storage, data modeling, data…","Bethesda, MD","$150,000 - $191,000 a year","Vice President, Data Science/Advanced Analytics"
183,Sortera Alloys,"This role requires combined expertise in software development, programming, data science and data engineering. A.I. Software engineering: 5 years (Preferred).","Fort Wayne, IN",$20 - $50 an hour,Artificial Intelligence Engineer
184,CloudPareto,Handling large data sets and relational databases. Designing and maintaining data schemas and databases. Visualizing and presenting data to stakeholders using…,"Arlington, VA","$80,000 - $110,000 a year",Data Analyst
185,"HireIO, Inc.","Given a reference DNN design, adjust the DNN architecture such that operations or layers that are not supported on the target platform are replaced while…","Fremont, CA",$60 - $68 an hour,Machine Learning Performance Engineer
186,Sprezzatura Management Consulting,Identifies and integrates external data sets with internal data elements for analysis to understand underlying patterns and trends.,"Washington, DC",,Data Scientist
187,"Hala Systems, Inc","Experience building data entry, transformation, and loading pipelines for disparate data types. Experience with streaming architectures and patterns, including…",Remote,"$100,000 - $115,000 a year",Data Engineer
188,FedEx Services,Experience designing data science solutions whithin a large enterprise solution architecture. Demonstrated experience developing and leading the implementation…,Tennessee +2 locations,"$9,026 - $14,745 a month",Data Scientist Principal
189,University of South Florida,"Master's degree in information technology, computer science, information systems or equivalent field and two years of demonstrated experience with analysis,…","Tampa, FL","$60,000 a year",Statistical Data Analyst
190,Eccalon,Expertise in communicating complex data insights for those without a data background. The Data Scientist will engage with senior leaders to identify questions…,"Arlington, VA",,Data Scientist - (Secret)
191,Wevision LLC,"As a data engineer, you bring software engineering best practices to the production and maintenance of analytics code and bring an engineering mindset to…",Remote,"$85,495 - $197,669 a year",Data Engineer
192,University of Maryland,"Vaccine Protocol The University of Maryland has made the safety of our students, faculty and staff, and our surrounding communities a top priority. As part…","College Park, MD",,Data Science Graduate Research Assistant
193,The Farmer's Dog,You will brainstorm with our small team of data scientists on modeling and solutions to our problems. Leverage our myriad data sources to help friction points…,"New York, NY",,Data Scientist - Forecasting & Optimization
194,"Luminoso Technologies, Inc","Communication and data presentation skills. Establish scalable, efficient, reproducible processes for large scale data analyses and model development.",Remote,"$100,000 - $200,000 a year",NLP Machine Learning Engineer
